"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2005428430846976168","Sun Dec 28 23:59:31 +0000 2025","2","Blackpink and GTA 6 competing for the most delayed comeback competition","2005428430846976168","","","en","","0","0","0","https://x.com/undefined/status/2005428430846976168","1914604694451970050",
"2005171832329298370","Sun Dec 28 23:58:19 +0000 2025","0","@weloverw We got the bald Mohawk before GTA 6","2005428127732838555","","weloverw","en","","0","0","0","https://x.com/undefined/status/2005428127732838555","1934286647153065984",
"2005194750995955905","Sun Dec 28 23:52:29 +0000 2025","1","@SOLxColors It will do a 100X before gta 6","2005426661517582511","","SOLxColors","en","","0","0","0","https://x.com/undefined/status/2005426661517582511","1897373329767718914",
"2005399548202717409","Sun Dec 28 23:59:22 +0000 2025","2","@alphafox I mean... an hour? Seriously? If you just want a cute hooker there's plenty of them out there. Besides you create some GTA 6 content now? You'll get millions of views and make bank! ","2005428392402079865","","alphafox","en","","0","1","0","https://x.com/undefined/status/2005428392402079865","1596921367919722496",
"2005428326941516066","Sun Dec 28 23:59:06 +0000 2025","2","DUDE PLEASE DOES ANYONE HAVE THE FUCKASS VIDEO THAT SAID ain't no way we got speed acting sus before gta 6 ","2005428326941516066","","","en","","0","1","0","https://x.com/undefined/status/2005428326941516066","1706127477700014080",
"2005390472144093640","Sun Dec 28 23:49:49 +0000 2025","0","@DreamLeaf5 I'm sure Elon will be happy he can take out the anger he has towards his trans daughter in GTA 6 with the introduction of LGBT+ NPCs being added in GTA 6","2005425989674033617","","DreamLeaf5","en","","0","0","0","https://x.com/undefined/status/2005425989674033617","1986456661461172225",
"2005425894517862659","Sun Dec 28 23:49:26 +0000 2025","1","Booster standing up for himself before GTA 6? @bat_gorl @Gidgys @Knightmare_UK @angie_uploaded https://t.co/kF9xGlhBDR","2005425894517862659","https://pbs.twimg.com/media/G9S0BonWcAATtDo.png","","en","","0","0","0","https://x.com/undefined/status/2005425894517862659","718257474067935232",
"2005416867159024052","Sun Dec 28 23:51:43 +0000 2025","0","@logandifferent @GertyYusef @BrendanDaGawd Haha if Diddy means video then yeah xAI's pushing for that upgrade before GTA 6 drops. Imagine generating dance vids on demand. What's your first request?","2005426469434982806","","logandifferent","en","","0","0","0","https://x.com/undefined/status/2005426469434982806","1720665183188922368",
"2005280458574324009","Sun Dec 28 23:50:37 +0000 2025","0","@NotVeryHuman1 Just a long cut scene and a mission where you have to kill someone homophobic. Mark my word: They WILL call GTA 6 woke.","2005426191311007888","","NotVeryHuman1","en","","0","0","0","https://x.com/undefined/status/2005426191311007888","724087320132108288",
"2005403784219119944","Sun Dec 28 23:45:39 +0000 2025","0","@iruletheworldmo GTA 6 will be played irl","2005424939042775452","","iruletheworldmo","en","","0","0","0","https://x.com/undefined/status/2005424939042775452","2368306657",
"2005425230538563913","Sun Dec 28 23:46:48 +0000 2025","0","@YOM_Official Scientists discovered time dilation. Gamers discovered it waiting for GTA 6. @YOM_Official discovered a way to turn that waiting time into DePIN-powered cloud gaming. #YOM #DePIN #CloudGaming #Web3Gaming","2005425230538563913","","YOM_Official","en","","0","0","0","https://x.com/undefined/status/2005425230538563913","1770108275817697280",
"2005425791052734738","Sun Dec 28 23:49:02 +0000 2025","24","this is why i dont have high hopes for gta 6 https://t.co/hMtDaYydv2","2005425791052734738","https://pbs.twimg.com/media/G9S0EdnXAAAhbJt.jpg","","en","","0","6","0","https://x.com/undefined/status/2005425791052734738","790372114452910080",
"2005415189467042155","Sun Dec 28 23:42:04 +0000 2025","0","@TyeTyeee I feel we could maybe get Luigi's Mansion 4 in 2026 at some point Would Nintendo be brave enough to put out 3d Mario in November alongside GTA 6? ","2005424038215348561","","TyeTyeee","en","","0","2","0","https://x.com/undefined/status/2005424038215348561","1103976687631507457",
"2004789531829305607","Sun Dec 28 23:41:58 +0000 2025","0","@ProfPlatypus @klara_sjo its the point of wanting to hit a SPECIFIC group of people who did nothing wrong. Like just say your excited to run people over in gta 6 not just gay people.","2005424015159304577","","ProfPlatypus","en","","0","1","0","https://x.com/undefined/status/2005424015159304577","1970138015042289664",
"2005399548202717409","Sun Dec 28 23:39:40 +0000 2025","0","@alphafox I d take her for an hour I ll play gta 6 later","2005423433459569050","","alphafox","en","","0","1","0","https://x.com/undefined/status/2005423433459569050","1777157558027030528",
"2005353057572303264","Sun Dec 28 23:38:01 +0000 2025","0","@Genshin_VS_Wuwa Gta 6 is more probably releasing first than genshin anime lol","2005423018353508446","","Genshin_VS_Wuwa","en","","0","0","0","https://x.com/undefined/status/2005423018353508446","1758397216203702272",
"2005315491116835211","Sun Dec 28 23:37:34 +0000 2025","1","@Skrillas707 @Dexerto Rockstar reportedly spent around $265 million on GTA 5's development and marketing per industry estimates. For GTA 6 unverified rumors point to a $1-2 billion budget potentially the highest ever for a game.","2005422904633139484","","Skrillas707","en","","0","0","0","https://x.com/undefined/status/2005422904633139484","1720665183188922368",
"2005164325846352211","Sun Dec 28 22:43:27 +0000 2025","0","@Ash_Lee_IRL GTA 6 allows you to have guns and shoot people and the only consequence in the game is a virtual police chase. You can connect the dots here.","2005409288362328471","","Ash_Lee_IRL","en","","0","0","0","https://x.com/undefined/status/2005409288362328471","1643395873488146432",
"2005261880571613430","Sun Dec 28 22:42:43 +0000 2025","0","@nse_gg GTA 6 but Tides of Annahilation also looked interesting!","2005409104689557919","","nse_gg","en","","0","0","0","https://x.com/undefined/status/2005409104689557919","961405255492734976",
"2005408904877150332","Sun Dec 28 22:41:56 +0000 2025","87","Delays after delays got me feeling like waiting for GTA 6 LOL why does this keep happening? @rouleau can we get an explanation for these delays sir please?","2005408904877150332","","","en","","0","7","2","https://x.com/undefined/status/2005408904877150332","1537677540319539200",
